acsf814w_dust,VISTA_Y_dust,VISTA_J_dust,VISTA_H_dust,VISTA_Ks_dust,irac_ch1_dust,irac_ch2_dust,NIRCam_F115W_dust,NIRCam_F150W_dust,NIRCam_F277W_dust,NIRCam_F444W_dust
26.077742,25.943357,25.707045,24.86041,24.648834,24.271173,24.223173,25.83018,24.980223,24.460903,24.229904
29.965153,29.10998,28.317202,26.745243,25.813179,24.312113,23.875471,28.676977,27.108995,25.019413,23.916267
25.788387,25.301277,24.841936,23.751802,23.194921,22.052933,21.71725,25.053982,23.980356,22.648022,21.751732
24.477785,24.431452,24.272202,23.496523,23.341297,23.028023,22.986614,24.360104,23.59862,23.197231,22.992998
25.92222,25.5094,25.087261,24.008497,23.50014,22.616644,22.383064,25.287655,24.223305,23.049309,22.406754
24.453468,24.38184,24.25586,23.593218,23.433521,23.051876,22.98914,24.328432,23.67863,23.25648,22.997849
25.634104,25.527433,25.323498,24.54298,24.37962,24.074118,24.059725,25.43678,24.64042,24.225151,24.062738
25.306072,25.239742,25.122936,24.504246,24.34903,24.00324,23.955399,25.19542,24.584425,24.182854,23.961454
25.2538,24.876287,24.476532,23.40934,22.927336,21.972551,21.701902,24.664543,23.62292,22.473461,21.730057
25.313618,25.139147,24.920578,24.133474,23.863008,23.31921,23.203876,25.03497,24.262152,23.595507,23.217285
24.971275,24.859667,24.67823,23.905464,23.70108,23.289667,23.217236,24.77472,24.014694,23.50448,23.226616
24.612835,24.345116,24.033747,23.088411,22.786633,22.125963,21.964436,24.1845,23.236849,22.482912,21.983341
25.26422,24.993004,24.71872,23.886559,23.564194,22.911497,22.757004,24.854399,24.026518,23.245104,22.773937
24.43073,24.145498,23.815704,22.842566,22.52969,21.874065,21.71178,23.971235,23.00057,22.226007,21.730244
24.643017,24.34221,23.92402,22.787325,22.436605,21.804749,21.642218,24.11633,22.982548,22.146124,21.659388
25.873232,25.751238,25.497227,24.635815,24.472214,24.20335,24.199493,25.629545,24.743921,24.337645,24.201626
24.761967,24.467278,24.161901,23.259924,22.923605,22.155176,21.953144,24.308973,23.413664,22.569382,21.976408
25.422672,25.098423,24.635696,23.444777,22.965385,22.18025,21.967564,24.840586,23.696686,22.601011,21.98856
25.562098,25.473677,25.299303,24.536926,24.372374,24.058043,24.028322,25.394777,24.636452,24.220135,24.032864
25.288385,24.845812,24.38158,23.194738,22.63674,21.59654,21.293451,24.592627,23.444803,22.138725,21.323912
27.395544,27.07194,26.54272,25.387812,25.042162,24.63502,24.572355,26.767485,25.60509,24.820312,24.58065
26.155039,25.906294,25.594131,24.61827,24.271154,23.672686,23.537357,25.7442,24.788473,23.971855,23.552298
24.443844,24.396341,24.317947,23.75971,23.645113,23.340235,23.299162,24.369408,23.82482,23.506525,23.304632
25.665941,25.554405,25.303843,24.441563,24.30446,24.079197,24.096706,25.430302,24.543402,24.19172,24.097425
25.25942,25.168135,24.936539,24.0634,23.89751,23.61585,23.594769,25.055305,24.180035,23.762243,23.59905
26.37418,26.179483,25.857174,24.86265,24.569843,24.116737,24.034393,26.011257,25.028543,24.339893,24.044413
23.736841,23.825752,23.840052,23.376556,23.27581,22.864384,22.777256,23.84732,23.442698,23.11119,22.79132
26.801943,26.090998,25.430494,24.048628,23.261608,21.737316,21.276379,25.726513,24.364582,22.518759,21.32155
25.202345,25.164116,25.037365,24.338985,24.224869,23.98558,23.985357,25.111378,24.418715,24.113382,23.987186
26.129126,25.95497,25.714699,24.867027,24.618912,24.17926,24.110195,25.838406,24.994957,24.399202,24.11826
25.449692,25.34737,25.162085,24.419464,24.247189,23.907318,23.867537,25.268415,24.515045,24.082186,23.872952
24.899818,24.88629,24.809538,24.237572,24.127642,23.85403,23.828098,24.866606,24.301188,23.999014,23.832285
24.814735,24.576288,24.288162,23.369568,23.048508,22.350016,22.170206,24.42933,23.526722,22.725935,22.190838
24.31899,24.066017,23.776335,22.861311,22.498217,21.713428,21.499744,23.91725,23.03208,22.13455,21.52345
25.586138,25.462568,25.227898,24.380194,24.18842,23.84739,23.805687,25.350704,24.493069,24.022621,23.811825
25.96401,25.767174,25.517685,24.694944,24.422987,23.902634,23.79813,25.649904,24.823639,24.16419,23.810045
25.908857,25.75119,25.537226,24.712255,24.400217,23.848866,23.719591,25.647764,24.863638,24.125166,23.733381
25.728569,25.490534,25.22774,24.365753,24.04209,23.422491,23.279392,25.356216,24.514965,23.736277,23.295282
26.123516,25.855806,25.536585,24.572742,24.211105,23.580717,23.435373,25.691944,24.741962,23.894129,23.451218
26.180565,26.06606,25.793577,24.885626,24.641651,24.275986,24.224073,25.930178,25.030651,24.453453,24.23129
25.942282,25.835579,25.589725,24.724773,24.486708,24.112925,24.054033,25.724037,24.860312,24.295525,24.061577
25.655897,25.490793,25.213106,24.314095,24.081785,23.689104,23.626497,25.360464,24.44155,23.886555,23.634708
26.29257,26.02191,25.69783,24.761366,24.414888,23.802464,23.664997,25.864313,24.91746,24.104967,23.68007
24.862665,24.73593,24.532318,23.74926,23.539734,23.127707,23.055248,24.645742,23.857243,23.340488,23.064466
25.723524,25.227852,24.54469,23.224363,22.721775,22.090063,21.93897,24.823435,23.528898,22.413086,21.954107
25.585478,25.318245,24.90846,23.842276,23.576723,23.13506,23.049799,25.107359,24.005001,23.364819,23.060398
27.104788,26.553291,26.007309,24.778278,24.133944,22.957296,22.619001,26.265429,25.042786,23.546885,22.652798
24.292326,23.958876,23.623354,22.704103,22.303873,21.409906,21.15688,23.78977,22.875929,21.888481,21.183949
24.47867,24.342987,24.140314,23.353037,23.129894,22.685616,22.597345,24.253006,23.467173,22.916176,22.608086
25.769285,25.695765,25.489107,24.653128,24.405024,24.014805,23.945873,25.603897,24.790857,24.20727,23.954323
23.560778,23.468784,23.277014,22.494614,22.328337,21.996237,21.953396,23.384117,22.594213,22.171453,21.959831
25.387552,25.16353,24.883247,23.995268,23.697578,23.145979,23.025589,25.029339,24.13556,23.425474,23.039112
25.366835,25.210024,25.015589,24.31667,24.116604,23.690973,23.615221,25.127436,24.409876,23.908785,23.624117
25.575926,25.415565,25.150566,24.242186,23.956057,23.47038,23.36941,25.28761,24.394423,23.713856,23.381248
25.194422,25.10721,24.95962,24.267878,24.08557,23.71732,23.663239,25.044739,24.363485,23.907566,23.669945
25.043077,25.018028,24.924902,24.31531,24.191349,23.90764,23.881508,24.986301,24.388182,24.058033,23.885685
26.753223,26.552713,26.226234,25.251438,24.956535,24.497812,24.419725,26.386595,25.41203,24.719093,24.429354
24.232761,24.080652,23.918716,23.25041,23.02309,22.490313,22.372581,24.00402,23.353794,22.769394,22.386763
26.692205,26.36758,26.034447,25.128904,24.752256,24.07828,23.927286,26.199999,25.29128,24.408916,23.94246
26.06336,25.85608,25.535349,24.556986,24.309715,23.871088,23.792255,25.68957,24.702166,24.100231,23.80273
26.409794,25.955845,25.483824,24.338015,23.792246,22.774479,22.489202,25.709108,24.571754,23.290792,22.51851
24.461119,24.348452,24.155685,23.34165,23.13695,22.666853,22.567768,24.252214,23.464548,22.92765,22.581133
26.33464,26.087687,25.795105,24.888811,24.56063,23.965555,23.843037,25.938166,25.043276,24.260248,23.856949
25.065096,24.93257,24.749992,24.01428,23.831459,23.427374,23.366524,24.849297,24.112097,23.639692,23.37455
25.442196,25.279413,25.024057,24.143913,23.89292,23.450047,23.368086,25.156559,24.276459,23.674767,23.37811
25.475466,25.268986,25.027044,24.228193,23.975714,23.45648,23.358593,25.15331,24.347994,23.721401,23.370193
26.551226,26.337986,25.996761,24.999674,24.7171,24.284077,24.213621,26.163877,25.152552,24.4947,24.222467
25.919445,25.674807,25.417253,24.62891,24.337593,23.777092,23.65981,25.551352,24.757744,24.058182,23.671953
25.596115,25.250797,24.922577,24.042522,23.613342,22.789148,22.573889,25.080994,24.215729,23.197998,22.59661
26.626183,26.473352,26.184132,25.24706,24.964554,24.535393,24.458843,26.332434,25.40014,24.742964,24.467903
29.084202,28.144773,27.29818,25.633257,24.606413,22.77217,22.211178,27.672424,26.036808,23.684778,22.264013
25.468111,25.349737,25.154537,24.362352,24.164232,23.781,23.72648,25.256067,24.471685,23.97876,23.73417
24.093208,23.97912,23.840475,23.186157,23.021692,22.601679,22.531162,23.91569,23.273394,22.826723,22.540829
24.723652,24.644577,24.50299,23.775229,23.562668,23.118402,23.026558,24.578896,23.889706,23.354053,23.037853
25.470734,25.350899,25.167004,24.38094,24.151913,23.700054,23.610346,25.262745,24.500969,23.934004,23.621378
25.048685,24.87726,24.660069,23.832432,23.573837,23.06536,22.956125,24.768536,23.964008,23.329887,22.9689
25.055267,24.993834,24.87135,24.215406,24.061829,23.72864,23.68162,24.945671,24.299826,23.90463,23.687704
25.332537,25.177221,24.976048,24.197884,23.971586,23.538107,23.464128,25.08197,24.313862,23.760233,23.472624
24.59394,24.500647,24.34828,23.634132,23.464691,23.085312,23.028688,24.430553,23.728827,23.287325,23.036713
25.39557,25.284513,25.094212,24.309364,24.12169,23.754002,23.70807,25.192581,24.41869,23.943922,23.715014
26.481075,26.041218,25.40454,24.098675,23.6447,23.048895,22.910004,25.669386,24.370447,23.343271,22.924702
24.552105,24.288424,23.772114,22.59108,22.151983,21.589817,21.462996,23.981339,22.870558,21.889328,21.475895
26.252434,25.709223,25.00593,23.56059,23.042944,22.279028,22.073893,25.297054,23.854832,22.67001,22.094484
25.857758,25.41248,24.776516,23.42163,22.952316,22.271294,22.09057,25.037739,23.704664,22.631456,22.108631
28.02868,27.398834,26.639627,25.33164,24.945293,24.521547,24.451862,26.933208,25.59287,24.714401,24.460802
25.669302,25.45862,25.092188,24.053577,23.822546,23.461245,23.412842,25.260456,24.206173,23.646528,23.420498
25.167318,25.021057,24.743607,23.795774,23.582247,23.218946,23.165743,24.876982,23.934507,23.408134,23.173763
25.094723,24.81379,24.296822,23.094318,22.625204,22.002556,21.855692,24.50938,23.379618,22.327703,21.87091
27.532228,26.88519,26.190475,24.6816,23.922838,22.671967,22.306011,26.4953,25.022602,23.296446,22.341621
27.353983,26.818933,26.102919,24.798582,24.375786,23.893225,23.801798,26.381098,25.0786,24.121216,23.812672
26.25297,25.806324,25.164322,23.850397,23.40034,22.802195,22.660688,25.425827,24.127487,23.098955,22.676132
26.228039,25.66557,24.947126,23.476603,22.933474,22.128674,21.908962,25.244274,23.781614,22.540766,21.93081
25.366026,25.147268,24.807697,23.78967,23.569445,23.171139,23.109274,24.967512,23.929783,23.384298,23.11809
24.489239,24.195269,23.651257,22.414068,21.954172,21.334236,21.172758,23.871574,22.705431,21.677385,21.188164
26.85329,26.394205,25.763062,24.507967,24.181034,23.785875,23.724653,26.020788,24.730745,23.973286,23.73295
25.318186,24.962708,24.432821,23.166746,22.743427,22.081423,21.909445,24.658394,23.419334,22.433537,21.92737
27.000177,26.570728,25.973118,24.75433,24.46581,24.115307,24.074827,26.22344,24.94809,24.280476,24.081211
25.75324,25.483595,25.005428,23.846743,23.453932,22.918058,22.796974,25.206827,24.093874,23.191399,22.810762
26.249416,26.014585,25.60205,24.528364,24.286167,23.974237,23.94512,25.787664,24.691914,24.124542,23.950226
25.690191,25.329817,24.771048,23.501482,23.078218,22.44905,22.28796,25.002844,23.762648,22.787546,22.304287
23.608892,23.511017,23.302841,22.446466,22.206427,21.746874,21.653048,23.404251,22.592983,21.992435,21.665579
23.40004,23.058786,22.57583,21.447721,21.05519,20.459215,20.319273,22.774519,21.68006,20.785574,20.333246
26.680885,26.20736,25.539131,24.223734,23.766438,23.190462,23.065153,25.806725,24.508944,23.472273,23.079067
26.19394,25.707994,25.0349,23.719398,23.309576,22.789171,22.674994,25.304329,23.987963,23.045334,22.68802
28.429125,27.867422,27.16049,25.81631,25.36984,24.812128,24.70359,27.457302,26.063238,25.065392,24.716124
26.628153,26.26693,25.723612,24.530655,24.223562,23.830141,23.770632,25.954924,24.73287,24.018644,23.778913
25.673466,25.279192,24.697832,23.395796,22.912466,22.211433,22.027122,24.942118,23.67611,22.572592,22.046007
27.398815,26.955498,26.311407,25.076193,24.67921,24.227325,24.147045,26.569368,25.335028,24.435179,24.157053
25.58989,25.264833,24.785727,23.571487,23.23086,22.68854,22.568289,24.997684,23.779976,22.969452,22.582008
26.069584,25.968033,25.71721,24.811312,24.581038,24.237547,24.191854,25.843588,24.954517,24.406326,24.198206
24.887203,24.559786,24.214897,23.224907,22.813988,21.950401,21.712029,24.376095,23.413109,22.409071,21.738047
24.944427,24.524927,24.100883,23.00032,22.515593,21.471758,21.169554,24.292492,23.220901,22.03308,21.201958
24.16179,24.099953,23.985437,23.345932,23.220646,22.887047,22.847157,24.053665,23.419523,23.06767,22.853848
27.426668,25.702547,24.516884,23.019363,22.429346,21.798702,21.666952,24.906948,23.409752,22.122349,21.678913
26.376558,26.033293,25.482178,24.285563,23.92189,23.47134,23.38554,25.71252,24.523499,23.687702,23.396042
30.532934,29.5731,28.555105,26.755404,25.912235,24.723845,24.397467,28.9844,27.143148,25.271976,24.429083
25.255543,25.048534,24.69632,23.663725,23.430553,23.03421,22.96815,24.860456,23.817766,23.243877,22.977354
25.645285,25.504126,25.208157,24.238445,23.98476,23.598078,23.533583,25.349297,24.3993,23.793594,23.541908
25.27956,24.687618,23.910906,22.513762,21.993305,21.34756,21.191475,24.214014,22.831783,21.66988,21.20738
25.630323,25.56929,25.374666,24.575603,24.442858,24.217186,24.222656,25.480164,24.671389,24.332945,24.224077
23.692629,23.75447,23.728605,23.177265,23.115868,22.930264,22.93015,23.759481,23.230274,23.037067,22.93215
26.622337,26.358797,26.001823,24.982157,24.63118,24.060575,23.939291,26.175009,25.157238,24.339634,23.952765
25.773394,25.6408,25.430595,24.645643,24.434774,24.04647,23.992592,25.546745,24.755007,24.242437,23.999208
26.053665,25.890917,25.62507,24.706078,24.370525,23.819952,23.697142,25.757889,24.877357,24.092026,23.710949
25.235134,25.157211,24.990702,24.240862,24.06471,23.731495,23.694103,25.084366,24.342575,23.902885,23.699373
23.905176,23.680735,23.387571,22.433851,22.045862,21.290861,21.085234,23.526997,22.62372,21.694603,21.107275
27.784275,27.260818,26.55902,25.29343,24.88817,24.444597,24.369253,26.83745,25.557463,24.6448,24.37846
24.55289,24.225899,23.894793,22.952286,22.534098,21.614973,21.353502,24.05089,23.134718,22.110418,21.381327
27.305197,26.983435,26.57916,25.508993,25.140581,24.558271,24.448982,26.770065,25.688236,24.837568,24.461317
